Ville;Type;Adresse;Commentaire
Nimy;Monument aux morts;"Place de Nimy
7020 Nimy";
Nimy;Stèle;7000 Mons;Albert Beriot & Pol Gigot
Obourg;Plaque commémorative;"34 Place de Saint-Denis
7034 Obourg (Saint-Denis)";Souvenir membres Résistance
Obourg;Stèle;"Rue desBruyères
7034 Obourg";Jules Mambré
Saint-Denis;Stèle;"Place de Saint-Denis
Saint-Denis";Les habitants de St-Denis A leurs Enfants
Saint-Symphorien;Monument;"Rue Blancart
7030 Saint-Symphorien";Jésus sur la Croix
Villers-Saint- Ghislain;Monument aux morts;"Rue Jules Beresse
Villers St Ghislain";
Ciply;Plaque commémorative;"Chaussée Brunehault
Cimetière de Ciply
Ciply";14-18 40-45 Souvenir ceux qui ont libéré le pays
Cuesmes;Plaque commémorative;"Place de Cuesmes
7033 Cuesmes";Auguste Nicodème
Flénu;Stèle;"Rue Augustet Lambert
7012 Flénu";A Nos Martyrs 1940 - 1945
Ghlin;Monument;"Avenue de la Libération
7011 Ghlin";Ghlin A ses Victimes
Ghlin;Plaque commémorative;"Rue du grand Marais
7011 Ghlin";Armée Secrète 454 BIS
Harveng;Plaque commémorative;"Place d'Harveng
Harveng";A Nos Glorieuses Victimes
Hyon;Monument aux morts;"Rue des Canadiens
7022 Hyon";
Hyon;Stèle;"Rue des Canadiens
7022 Hyon";1914 - 1918 Honneur Patrie 1940 - 1945
Jemappes;Monument;"Avenue du Roi Albert
7000 Jemappes";Statue (buste Albert Ier)
Jemappes;Monument;"35 Rue du Château Guillochain
7012 Jemappes";Mémento des Fusillés du Parc
Jemappes;Stèle;"Allée du Cimetière
Cimetière de Jemappes
7012 Jemappes";Canon
Jemappes;Plaque commémorative;"Place de Jemappes
7012 Jemappes";Morts pour la Patrie
Jemappes;Monument aux morts;"Avenue Wilson
7012 Jemappes";
Maisières;Stèle;"Rue des Dames
Cimetière de Maisières
Maisières";Caveau d'Honneur Combattants et Déportés
Mesvin;Monument aux morts;"Rue Brunehaut
7022 Mesvin";
Mons;Plaque commémorative;"Grand place
7000 Mons";Georges Raepers
