Geo Point;Geo Shape;id;Année de pose;Localité;Adresse;Quantité;Type;Précisions
50.439201473,3.96069843239;"{""type"": ""Point"", ""coordinates"": [3.960698432386315, 50.43920147300006]}";56;2018;HYON;Poste Hyon;3.0;Arceau en U;
50.4293008443,3.96096378227;"{""type"": ""Point"", ""coordinates"": [3.960963782272284, 50.42930084430865]}";90;2019;MESVIN;Place de Mesvin;2.0;Arceau en U;
50.4327270172,4.01104397312;"{""type"": ""Point"", ""coordinates"": [4.011043973119426, 50.43272701720573]}";96;2019;SAINT-SYMPHORIEN;Rue Nestor Dehon;2.0;Arceau en U;Cimetière militaire
50.4672504905,4.04164309467;"{""type"": ""Point"", ""coordinates"": [4.041643094674771, 50.467250490529466]}";81;2019;HAVRE;Rue du Dépôt;3.0;Arceau en U;Salle CALVA
50.4717589238,3.95607614904;"{""type"": ""Point"", ""coordinates"": [3.956076149035241, 50.471758923793416]}";45;2018;NIMY;Rue Mathys;2.0;Arceau en U;Gare de Nimy
50.4484664064,3.96210338638;"{""type"": ""Point"", ""coordinates"": [3.962103386375816, 50.44846640635165]}";70;2019;MONS;Avenue du Pont rouge;2.0;Arceau en U;
50.475332056,3.90330604761;"{""type"": ""Point"", ""coordinates"": [3.903306047614839, 50.47533205601957]}";79;2019;GHLIN;Place de Ghlin;3.0;Arceau en U;Salle CALVA
50.4520088884,3.94643441442;"{""type"": ""Point"", ""coordinates"": [3.946434414422828, 50.45200888844177]}";36;2018;MONS;Rue des 5 Visages;2.0;Arceau en U;
50.4542687348,3.95361807971;"{""type"": ""Point"", ""coordinates"": [3.953618079706192, 50.45426873479231]}";29;2018;MONS;Rue de la Seuwe;3.0;Arceau en U;
50.4528204067,3.95644917275;"{""type"": ""Point"", ""coordinates"": [3.956449172747034, 50.45282040665838]}";8;2015;MONS;Quartier Rachot;2.0;Arceau en U;
50.4531391263,3.94327081416;"{""type"": ""Point"", ""coordinates"": [3.943270814161491, 50.45313912626033]}";115;2021;MONS;Rue Leopold;4.0;Arceau publicitaire;
50.4576507261,3.95538785739;"{""type"": ""Point"", ""coordinates"": [3.955387857387338, 50.457650726082655]}";117;2021;MONS;Rue de Nimy;4.0;Arceau publicitaire;Mundaneum
50.4503480581,3.94086965562;"{""type"": ""Point"", ""coordinates"": [3.940869655623129, 50.450348058141806]}";120;2021;MONS;Rue André Masquelier;4.0;Arceau publicitaire;
50.453663643,3.95881915994;"{""type"": ""Point"", ""coordinates"": [3.958819159935451, 50.45366364295072]}";121;2021;MONS;Rue des Archers;4.0;Arceau publicitaire;
50.4540138308,3.95988286347;"{""type"": ""Point"", ""coordinates"": [3.959882863471656, 50.45401383075786]}";130;;MONS;Avenue Baudouin De Constantinople;4.0;Arceau publicitaire;Hôpital Saint-Joseph
50.4700228455,3.94530638657;"{""type"": ""Point"", ""coordinates"": [3.945306386572713, 50.47002284549282]}";137;;MONS;Avenue de la Sapinette;15.0;;Piscine du Grand-Large
50.4581036989,3.95715823921;"{""type"": ""Point"", ""coordinates"": [3.957158239212131, 50.45810369891644]}";138;;MONS;Place Paul Eupgen;2.0;Arceau en U;
50.4586076702,3.95669007286;"{""type"": ""Point"", ""coordinates"": [3.956690072857252, 50.458607670219656]}";23;2018;MONS;Rue des Trois Boudins (le manège);2.0;Arceau en U;
50.4551777952,3.95305025089;"{""type"": ""Point"", ""coordinates"": [3.95305025089395, 50.455177795249554]}";28;2018;MONS;Rue de Nimy (Théâtre);3.0;Arceau en U;
50.4511686215,3.95651008573;"{""type"": ""Point"", ""coordinates"": [3.956510085730043, 50.45116862153621]}";32;2018;MONS;Rue des Archers;2.0;Arceau en U;
50.4754070618,3.90687908569;"{""type"": ""Point"", ""coordinates"": [3.90687908568928, 50.47540706177919]}";41;2018;GHLIN;Parc de Ghlin;1.0;Arceau en U;
50.477461978,3.95197550644;"{""type"": ""Point"", ""coordinates"": [3.951975506441839, 50.47746197796462]}";44;2018;NIMY;Place de Nimy;2.0;Arceau en U;Côté ING
50.4518684879,3.94488176504;"{""type"": ""Point"", ""coordinates"": [3.944881765037973, 50.45186848791928]}";99;;MONS;Rue de l'Athénée;4.0;Arceau en U;
50.4499554353,3.94949909886;"{""type"": ""Point"", ""coordinates"": [3.949499098857309, 50.44995543529395]}";103;;MONS;Grand'Rue;1.0;Arceau en U;Intersection rue des Juifs
50.4581167865,3.9532156737;"{""type"": ""Point"", ""coordinates"": [3.953215673697889, 50.458116786519426]}";59;2019;MONS;Place du Parc;3.0;Arceau en U;A préciser. Localisation proche du futur musée Umons
50.4514076683,3.94401302022;"{""type"": ""Point"", ""coordinates"": [3.944013020219332, 50.45140766834058]}";61;2019;MONS;Rue André Masquelier;3.0;Arceau en U;Croisement rue Bouzanton
50.4336426299,3.88934914072;"{""type"": ""Point"", ""coordinates"": [3.889349140715887, 50.43364262989604]}";75;2019;FLENU;Place Dooms;3.0;Arceau en U;Place du jeu de balle
50.4335285749,3.88823054497;"{""type"": ""Point"", ""coordinates"": [3.888230544974695, 50.433528574873435]}";76;2019;FLENU;Pavé du Vingt;3.0;Arceau en U;Salle CALVA
50.4487619503,3.89142672139;"{""type"": ""Point"", ""coordinates"": [3.891426721392111, 50.448761950312345]}";85;2019;JEMAPPES;Rue aux Vignes;2.0;Arceau en U;
50.4523231355,3.94361321605;"{""type"": ""Point"", ""coordinates"": [3.943613216052869, 50.45232313548946]}";105;;MONS;Rue Chisaire;3.0;Arceau en U;
50.4558972653,3.87928908603;"{""type"": ""Point"", ""coordinates"": [3.879289086032446, 50.455897265279646]}";40;2018;JEMAPPES;Parc de Jemappes;3.0;Arceau en U;
50.4517561415,3.94692300048;"{""type"": ""Point"", ""coordinates"": [3.946923000480823, 50.451756141529344]}";106;;MONS;Rue des Sœurs Grises;2.0;Arceau en U;En face rue 5 visages
50.450217034,3.94501829061;"{""type"": ""Point"", ""coordinates"": [3.945018290614267, 50.450217033957585]}";35;2018;MONS;Place du Béguinage;3.0;Arceau en U;
50.4539348966,3.95193188883;"{""type"": ""Point"", ""coordinates"": [3.951931888833152, 50.45393489655896]}";107;2021;MONS;Grand-Place;4.0;Arceau publicitaire;Librairie
50.4537605846,3.94381987702;"{""type"": ""Point"", ""coordinates"": [3.943819877024159, 50.4537605845653]}";116;2021;MONS;Place Leopold II;4.0;Arceau publicitaire;Bureaux TEC
50.4532575777,3.969151353;"{""type"": ""Point"", ""coordinates"": [3.969151353003331, 50.45325757766373]}";122;2021;MONS;Chaussée de Binche;4.0;Arceau publicitaire;Parking Saint Fiacre
50.4575421128,3.9307143203;"{""type"": ""Point"", ""coordinates"": [3.930714320304548, 50.4575421127565]}";127;;MONS;Grand-Près;10.0;Arceau en U;Ikéa
50.4484703957,3.88984003101;"{""type"": ""Point"", ""coordinates"": [3.889840031005434, 50.44847039572047]}";128;;JEMAPPES;Place de Jemappes;2.0;Arceau en U;
50.4456800393,3.9987418267;"{""type"": ""Point"", ""coordinates"": [3.998741826702384, 50.44568003927141]}";129;;SAINT-SYMPHORIEN;Chaussée Roi Baudouin;2.0;Arceau en U;Salle Calva
50.4561584961,3.95439700383;"{""type"": ""Point"", ""coordinates"": [3.954397003825664, 50.456158496148696]}";133;;MONS;Rue de Nimy;4.0;Arceau en U;Palais de Justice
50.4524371298,3.94996104865;"{""type"": ""Point"", ""coordinates"": [3.94996104864535, 50.45243712975066]}";1;2015;MONS;Grand Rue piétonne;3.0;Arceau en U;Intersection avec Rue Samson (proximité des bancs et des bacs à fleurs)
50.4537078878,3.95450918079;"{""type"": ""Point"", ""coordinates"": [3.954509180793842, 50.45370788776975]}";6;2015;MONS;Rue d'Havré;3.0;Arceau en U;Haut de la rue
50.4532320769,3.94909201312;"{""type"": ""Point"", ""coordinates"": [3.949092013120811, 50.453232076936644]}";10;2015;MONS;Rue des Clercs;3.0;Arceau en U;Collégiale Sainte-Waudru
50.4580895775,3.95146718508;"{""type"": ""Point"", ""coordinates"": [3.951467185084415, 50.4580895775429]}";18;2015;MONS;Place du Parc;4.0;Arceau en U;Umons
50.4553507571,3.95506317366;"{""type"": ""Point"", ""coordinates"": [3.955063173655842, 50.45535075707035]}";25;2018;MONS;Place de Bootle;1.0;Arceau en U;
50.4474905605,3.94822097872;"{""type"": ""Point"", ""coordinates"": [3.948220978722567, 50.4474905604958]}";34;2018;MONS;Avenue Jean d'Avesnes;2.0;Arceau en U;
50.4453343088,3.95492696077;"{""type"": ""Point"", ""coordinates"": [3.954926960768757, 50.445334308790116]}";37;2018;MONS;Avenue d'Hyon (boulangerie);1.0;Arceau en U;Intersection avec la Rue du Joncquois, en face boulangerie
50.4752672264,3.90202571613;"{""type"": ""Point"", ""coordinates"": [3.902025716130202, 50.47526722642737]}";42;2018;GHLIN;Place de Ghlin;2.0;Arceau en U;
50.486449863,3.95837056371;"{""type"": ""Point"", ""coordinates"": [3.958370563708506, 50.48644986295002]}";48;2018;MAISIERES;Av. des Espinois;2.0;Arceau en U;Salle Calva
50.4735248653,4.00787862823;"{""type"": ""Point"", ""coordinates"": [4.007878628231426, 50.473524865260856]}";49;2018;OBOURG;Place d'Obourg;2.0;Arceau en U;
50.4395313036,4.01086157055;"{""type"": ""Point"", ""coordinates"": [4.010861570545498, 50.43953130360248]}";51;2018;SAINT-SYMPHORIEN;Chaussée Roi Baudouin;2.0;Arceau en U;
50.4399594913,3.96364083296;"{""type"": ""Point"", ""coordinates"": [3.963640832962128, 50.43995949130627]}";55;2018;HYON;Place Hyon;2.0;Arceau en U;
50.4270378075,3.96019549903;"{""type"": ""Point"", ""coordinates"": [3.960195499034712, 50.42703780746648]}";89;2019;MESVIN;Rue Brunehaut;2.0;Arceau en U;A proximité de l'Amusette
50.426193597,3.99021287069;"{""type"": ""Point"", ""coordinates"": [3.99021287068609, 50.42619359700908]}";97;2019;SPIENNES;Rue Gontrand Bachy;3.0;Arceau en U;Salle CALVA
50.4508807177,3.94798113032;"{""type"": ""Point"", ""coordinates"": [3.947981130323472, 50.45088071765522]}";101;;MONS;Rue sans Coron;1.0;Arceau en U;
50.4509070678,3.94808590172;"{""type"": ""Point"", ""coordinates"": [3.948085901717131, 50.45090706784709]}";102;;MONS;Rue des Capucins;2.0;Arceau en U;Intersection rue sans Coron
50.4290009471,3.88614265861;"{""type"": ""Point"", ""coordinates"": [3.886142658612069, 50.42900094713003]}";77;2019;FLENU;Rue des Produits;3.0;Arceau en U;Hall omnisports Flénu
50.4028514841,4.01670009605;"{""type"": ""Point"", ""coordinates"": [4.01670009605099, 50.402851484140314]}";80;2019;HARMIGNIES;Rue de la Vieille Eglise;2.0;Arceau en U;Salle CALVA
50.4366869863,3.9253947398;"{""type"": ""Point"", ""coordinates"": [3.925394739796459, 50.436686986331104]}";104;;CUESMES;Place de Cuesmes;4.0;Arceau publicitaire;Arrêt de bus
50.4508505912,3.94943042743;"{""type"": ""Point"", ""coordinates"": [3.949430427428413, 50.45085059119597]}";110;2021;MONS;Grand Rue piétonne;4.0;Arceau publicitaire;
50.4524270818,3.94996836912;"{""type"": ""Point"", ""coordinates"": [3.949968369120335, 50.452427081773386]}";114;2021;MONS;Rue Samson;4.0;Arceau publicitaire;Croisement Grand Rue
50.4578206069,3.95664744175;"{""type"": ""Point"", ""coordinates"": [3.956647441752083, 50.45782060692402]}";140;;MONS;Rue des Passages;3.0;Arceau en U;
